cod_uf;cod_agencia;agencia;uorg;latitude;longitude
11;110002300;ARIQUEMES;1547;-9.909610;-63.034608
11;110004900;CACOAL;958;-11.431630;-61.455148
11;110012200;JI-PARANÁ;960;-10.877332;-61.961635
11;110020500;PORTO VELHO;961;-8.759258;-63.901395
11;110030400;VILHENA;959;-12.741639;-60.136638
12;120020300;CRUZEIRO DO SUL;966;-7.635381;-72.666606
12;120040100;RIO BRANCO;968;-9.974897;-67.807659
12;120060900;TARAUACÁ;967;-8.155755;-70.770586
13;130110000;CAREIRO;1794;-3.819514;-60.355427
13;130120900;COARI;869;-4.085753;-63.142283
13;130140700;EIRUNEPÉ;867;-6.666736;-69.864675
13;130170400;HUMAITÁ;1512;-7.506494;-63.021122
13;130190200;ITACOATIARA;871;-3.143036;-58.444444
13;130240500;LÁBREA;1795;-7.265086;-64.794942
13;130250400;MANACAPURU;872;-3.299696;-60.619519
13;130260300;UE/AMAZONAS;1310;-3.107356;-60.018325
13;130260301;MANAUS CENTRO;1599;-3.107356;-60.018325
13;130260302;MANAUS LESTE;1796;-3.107356;-60.018325
13;130340300;PARINTINS;873;-2.628825;-56.738178
13;130380900;SÃO GABRIEL DA CACHOEIRA;1797;-0.128794;-67.091267
13;130406200;TABATINGA;1513;-4.230936;-69.934722
13;130420300;TEFÉ;870;-3.345778;-64.706719
14;140010000;BOA VISTA;1805;2.843486;-60.664300
15;150010700;ABAETETUBA;851;-1.724360;-48.884085
15;150050300;ALMEIRIM;848;-1.528965;-52.571505
15;150060200;ALTAMIRA;849;-3.211267;-52.219720
15;150080000;ANANINDEUA;1742;-1.367126;-48.376390
15;150140201;BELÉM I;1743;-1.456240;-48.488540
15;150140202;BELÉM II;1744;-1.456240;-48.488540
15;150170900;BRAGANÇA;855;-1.059467;-46.766290
15;150180800;BREVES;850;-1.691223;-50.483047
15;150210300;CAMETÁ;852;-2.245718;-49.498792
15;150220200;CAPANEMA;856;-1.193469;-47.181397
15;150240000;CASTANHAL;857;-1.296792;-47.944376
15;150360600;ITAITUBA;1745;-4.278024;-55.989030
15;150420800;MARABÁ;853;-5.346774;-49.106283
15;150510600;ÓBIDOS;846;-1.915662;-55.515545
