agencia_nome,municipio_codigo,municipio_nome
ALAGOINHAS,2900702,Alagoinhas
ALAGOINHAS,2902054,Araças
ALAGOINHAS,2902203,Aramari
ALAGOINHAS,2907004,Cardeal da Silva
ALAGOINHAS,2907509,Catu
ALAGOINHAS,2910503,Entre Rios
ALAGOINHAS,2913705,Inhambupe
ALAGOINHAS,2915908,Itanagra
ALAGOINHAS,2923308,Ouriçangas
ALAGOINHAS,2924108,Pedrão
ALAGOINHAS,2929701,Sátiro Dias
BARREIRAS,2901403,Angical
BARREIRAS,2902500,Baianópolis
BARREIRAS,2903201,Barreiras
BARREIRAS,2907400,Catolândia
BARREIRAS,2909406,Cotegipe
BARREIRAS,2909703,Cristópolis
BARREIRAS,2919553,Luís Eduardo Magalhães
BARREIRAS,2928901,São Desidério
BARREIRAS,2933455,Wanderley
BOM JESUS DA LAPA,2903904,Bom Jesus da Lapa
BOM JESUS DA LAPA,2910776,Feira da Mata
BOM JESUS DA LAPA,2913408,Igaporã
BOM JESUS DA LAPA,2923704,Paratinga
BOM JESUS DA LAPA,2926400,Riacho de Santana
BOM JESUS DA LAPA,2930154,Serra do Ramalho
BOM JESUS DA LAPA,2930758,Sítio do Mato
BRUMADO,2902005,Aracatu
BRUMADO,2902807,Barra da Estiva
BRUMADO,2904605,Brumado
BRUMADO,2908804,Contendas do Sincorá
BRUMADO,2911659,Guajeru
BRUMADO,2912202,Ibicoara
BRUMADO,2917201,Ituaçu
BRUMADO,2918753,Lagoa Real
BRUMADO,2920304,Malhada de Pedras
BRUMADO,2926806,Rio do Antônio
BRUMADO,2931004,Tanhaçu
CACHOEIRA,2904852,Cabaceiras do Paraguaçu
CACHOEIRA,2904902,Cachoeira
CACHOEIRA,2908200,Conceição da Feira
CACHOEIRA,2911600,Governador Mangabeira
CACHOEIRA,2920601,Maragogipe
CACHOEIRA,2922300,Muritiba
CACHOEIRA,2929008,São Félix
CAMAÇARI,2905701,Camaçari
CAMAÇARI,2910057,Dias d'Ávila
CAMAÇARI,2921005,Mata de São João
CAMAÇARI,2925204,Pojuca
CONCEIÇÃO DO COITÉ,2908408,Conceição do Coité
CONCEIÇÃO DO COITÉ,2922656,Nordestina
CONCEIÇÃO DO COITÉ,2925808,Queimadas
CONCEIÇÃO DO COITÉ,2926103,Retirolândia
CONCEIÇÃO DO COITÉ,2928000,Santaluz
CONCEIÇÃO DO COITÉ,2928950,São Domingos
CONCEIÇÃO DO COITÉ,2933000,Valente
CRUZ DAS ALMAS,2907301,Castro Alves
CRUZ DAS ALMAS,2908309,Conceição do Almeida
CRUZ DAS ALMAS,2909802,Cruz das Almas
CRUZ DAS ALMAS,2916856,Itatim
CRUZ DAS ALMAS,2928505,Santa Teresinha
CRUZ DAS ALMAS,2929107,São Felipe
CRUZ DAS ALMAS,2929602,Sapeaçu
ESPLANADA,2900306,Acajutiba
ESPLANADA,2901908,Aporá
ESPLANADA,2908606,Conde
ESPLANADA,2909604,Crisópolis
ESPLANADA,2910602,Esplanada
ESPLANADA,2916500,Itapicuru
ESPLANADA,2917904,Jandaíra
ESPLANADA,2927002,Rio Real
EUCLIDES DA CUNHA,2906808,Cansanção
EUCLIDES DA CUNHA,2906824,Canudos
EUCLIDES DA CUNHA,2910701,Euclides da Cunha
EUCLIDES DA CUNHA,2921500,Monte Santo
EUCLIDES DA CUNHA,2925907,Quijingue
EUCLIDES DA CUNHA,2931905,Tucano
EUCLIDES DA CUNHA,2932002,Uauá
EUNÁPOLIS,2910727,Eunápolis
EUNÁPOLIS,2911808,Guaratinga
EUNÁPOLIS,2914653,Itabela
EUNÁPOLIS,2915304,Itagimirim
EUNÁPOLIS,2916302,Itapebi
FEIRA DE SANTANA,2901106,Amélia Rodrigues
FEIRA DE SANTANA,2901700,Antônio Cardoso
FEIRA DE SANTANA,2908507,Conceição do Jacuípe
FEIRA DE SANTANA,2908903,Coração de Maria
FEIRA DE SANTANA,2910800,Feira de Santana
FEIRA DE SANTANA,2913804,Ipecaetá
FEIRA DE SANTANA,2914505,Irará
FEIRA DE SANTANA,2928307,Santanópolis
FEIRA DE SANTANA,2928802,Santo Estêvão
FEIRA DE SANTANA,2929305,São Gonçalo dos Campos
GUANAMBI,2905008,Caculé
GUANAMBI,2905206,Caetité
GUANAMBI,2906600,Candiba
GUANAMBI,2907103,Carinhanha
GUANAMBI,2911709,Guanambi
GUANAMBI,2912004,Ibiassucê
GUANAMBI,2917334,Iuiú
GUANAMBI,2917409,Jacaraci
GUANAMBI,2919405,Licínio de Almeida
GUANAMBI,2920205,Malhada
GUANAMBI,2921054,Matina
GUANAMBI,2921807,Mortugaba
GUANAMBI,2923407,Palmas de Monte Alto
GUANAMBI,2924504,Pindaí
GUANAMBI,2930006,Sebastião Laranjeiras
GUANAMBI,2932606,Urandi
IBOTIRAMA,2904100,Boquira
IBOTIRAMA,2904407,Brejolândia
IBOTIRAMA,2904506,Brotas de Macaúbas
IBOTIRAMA,2912509,Ibipitanga
IBOTIRAMA,2913200,Ibotirama
IBOTIRAMA,2914109,Ipupiara
IBOTIRAMA,2921609,Morpará
IBOTIRAMA,2922250,Muquém de São Francisco
IBOTIRAMA,2923209,Oliveira dos Brejinhos
ILHÉUS,2902401,Aurelino Leal
ILHÉUS,2906303,Canavieiras
ILHÉUS,2913606,Ilhéus
ILHÉUS,2914901,Itacaré
ILHÉUS,2920700,Maraú
ILHÉUS,2932200,Ubaitaba
ILHÉUS,2932507,Una
ILHÉUS,2932705,Uruçuca
IPIAÚ,2900603,Aiquara
IPIAÚ,2903102,Barra do Rocha
IPIAÚ,2910008,Dário Meira
IPIAÚ,2911204,Gandu
IPIAÚ,2911501,Gongogi
IPIAÚ,2912707,Ibirapitanga
IPIAÚ,2912905,Ibirataia
IPIAÚ,2913903,Ipiaú
IPIAÚ,2915205,Itagibá
IPIAÚ,2915700,Itamari
IPIAÚ,2922755,Nova Ibiá
IPIAÚ,2924678,Piraí do Norte
IPIAÚ,2931608,Teolândia
IPIAÚ,2932309,Ubatã
IPIAÚ,2933505,Wenceslau Guimarães
IPIRA,2901502,Anguera
IPIRA,2902609,Baixa Grande
IPIRA,2914000,Ipirá
IPIRA,2920106,Mairi
IPIRA,2924652,Pintadas
IPIRA,2925956,Rafael Jambeiro
IPIRA,2930402,Serra Preta
IPIRA,2933059,Várzea da Roça
IRECÊ,2903003,Barra do Mendes
IRECÊ,2903235,Barro Alto
IRECÊ,2906204,Canarana
IRECÊ,2907608,Central
IRECÊ,2912400,Ibipeba
IRECÊ,2913101,Ibititá
IRECÊ,2914604,Irecê
IRECÊ,2918357,João Dourado
IRECÊ,2918506,Jussara
IRECÊ,2919157,Lapão
IRECÊ,2925600,Presidente Dutra
IRECÊ,2929255,São Gabriel
IRECÊ,2932408,Uibaí
ITABERABA,2903805,Boa Vista do Tupim
ITABERABA,2904308,Brejões
ITABERABA,2911907,Iaçu
ITABERABA,2912608,Ibiquera
ITABERABA,2914703,Itaberaba
ITABERABA,2915007,Itaeté
ITABERABA,2919009,Lajedinho
ITABERABA,2919603,Macajuba
ITABERABA,2920809,Marcionílio Souza
ITABERABA,2921302,Milagres
ITABERABA,2922805,Nova Itarana
ITABERABA,2927200,Ruy Barbosa
ITABUNA,2900900,Almadina
ITABUNA,2902252,Arataca
ITABUNA,2903300,Barro Preto
ITABUNA,2904704,Buerarema
ITABUNA,2905602,Camacan
ITABUNA,2908002,Coaraci
ITABUNA,2911006,Floresta Azul
ITABUNA,2912103,Ibicaraí
ITABUNA,2914802,Itabuna
ITABUNA,2915403,Itaju do Colônia
ITABUNA,2915502,Itajuípe
ITABUNA,2916203,Itapé
ITABUNA,2916609,Itapitanga
ITABUNA,2918555,Jussari
ITABUNA,2920908,Mascote
ITABUNA,2923902,Pau Brasil
ITABUNA,2928059,Santa Luzia
ITABUNA,2929354,São José da Vitória
ITAMARAJU,2900801,Alcobaça
ITAMARAJU,2906907,Caravelas
ITAMARAJU,2915601,Itamaraju
ITAMARAJU,2918456,Jucuruçu
ITAMARAJU,2925501,Prado
ITAPETINGA,2904803,Caatiba
ITAPETINGA,2910909,Firmino Alves
ITAPETINGA,2916401,Itapetinga
ITAPETINGA,2916807,Itarantim
ITAPETINGA,2917102,Itororó
ITAPETINGA,2919702,Macarani
ITAPETINGA,2920007,Maiquinique
ITAPETINGA,2925402,Potiraguá
ITAPETINGA,2927804,Santa Cruz da Vitória
JACOBINA,2905107,Caém
JACOBINA,2905503,Caldeirão Grande
JACOBINA,2906873,Capim Grosso
JACOBINA,2917508,Jacobina
JACOBINA,2921203,Miguel Calmon
JACOBINA,2921401,Mirangaba
JACOBINA,2923357,Ourolândia
JACOBINA,2925931,Quixabeira
JACOBINA,2929370,São José do Jacuípe
JACOBINA,2929800,Saúde
JACOBINA,2930600,Serrolândia
JACOBINA,2932457,Umburanas
JACOBINA,2933109,Várzea do Poço
JAGUAQUARA,2909505,Cravolândia
JAGUAQUARA,2914208,Irajuba
JAGUAQUARA,2916708,Itaquara
JAGUAQUARA,2916906,Itiruçu
JAGUAQUARA,2917607,Jaguaquara
JAGUAQUARA,2919058,Lajedo do Tabocal
JAGUAQUARA,2920502,Maracás
JAGUAQUARA,2924900,Planaltino
JAGUAQUARA,2927903,Santa Inês
JAGUAQUARA,2932101,Ubaíra
JEQUIÉ,2901957,Apuarema
JEQUIÉ,2914307,Iramaia
JEQUIÉ,2915106,Itagi
JEQUIÉ,2918001,Jequié
JEQUIÉ,2918308,Jitaúna
JEQUIÉ,2918704,Lafaiete Coutinho
JEQUIÉ,2920403,Manoel Vitorino
JEREMOABO,2901601,Antas
JEREMOABO,2909208,Coronel João Sá
JEREMOABO,2918100,Jeremoabo
JEREMOABO,2923050,Novo Triunfo
JEREMOABO,2924207,Pedro Alexandre
JEREMOABO,2927606,Santa Brígida
JEREMOABO,2930766,Sítio do Quinto
JUAZEIRO,2907202,Casa Nova
JUAZEIRO,2909901,Curaçá
JUAZEIRO,2918407,Juazeiro
JUAZEIRO,2930204,Sento Sé
JUAZEIRO,2930774,Sobradinho
LIVRAMENTO DE NOSSA SENHORA,2900108,Abaíra
LIVRAMENTO DE NOSSA SENHORA,2904209,Botuporã
LIVRAMENTO DE NOSSA SENHORA,2907558,Caturama
LIVRAMENTO DE NOSSA SENHORA,2910107,Dom Basílio
LIVRAMENTO DE NOSSA SENHORA,2900504,Érico Cardoso
LIVRAMENTO DE NOSSA SENHORA,2918605,Jussiape
LIVRAMENTO DE NOSSA SENHORA,2919504,Livramento de Nossa Senhora
LIVRAMENTO DE NOSSA SENHORA,2919801,Macaúbas
LIVRAMENTO DE NOSSA SENHORA,2923605,Paramirim
LIVRAMENTO DE NOSSA SENHORA,2924306,Piatã
LIVRAMENTO DE NOSSA SENHORA,2926707,Rio de Contas
LIVRAMENTO DE NOSSA SENHORA,2926905,Rio do Pires
LIVRAMENTO DE NOSSA SENHORA,2931053,Tanque Novo
MORRO DO CHAPÉU,2901155,América Dourada
MORRO DO CHAPÉU,2904050,Bonito
MORRO DO CHAPÉU,2905305,Cafarnaum
MORRO DO CHAPÉU,2921708,Morro do Chapéu
MORRO DO CHAPÉU,2922102,Mundo Novo
MORRO DO CHAPÉU,2924801,Piritiba
MORRO DO CHAPÉU,2931301,Tapiramutá
MORRO DO CHAPÉU,2932804,Utinga
MORRO DO CHAPÉU,2933158,Várzea Nova
MORRO DO CHAPÉU,2933406,Wagner
PAULO AFONSO,2900207,Abaré
PAULO AFONSO,2907707,Chorrochó
PAULO AFONSO,2911402,Glória
PAULO AFONSO,2919900,Macururé
PAULO AFONSO,2924009,Paulo Afonso
PAULO AFONSO,2927101,Rodelas
POÇÕES,2903706,Boa Nova
POÇÕES,2903953,Bom Jesus da Serra
POÇÕES,2905156,Caetanos
POÇÕES,2912301,Ibicuí
POÇÕES,2913507,Iguaí
POÇÕES,2921450,Mirante
POÇÕES,2922706,Nova Canaã
POÇÕES,2925006,Planalto
POÇÕES,2925105,Poções
PORTO SEGURO,2903409,Belmonte
PORTO SEGURO,2925303,Porto Seguro
PORTO SEGURO,2927705,Santa Cruz Cabrália
REMANSO,2905909,Campo Alegre de Lourdes
REMANSO,2924405,Pilão Arcado
REMANSO,2926004,Remanso
RIACHÃO DO JACUÍPE,2906402,Candeal
RIACHÃO DO JACUÍPE,2906857,Capela do Alto Alegre
RIACHÃO DO JACUÍPE,2911253,Gavião
RIACHÃO DO JACUÍPE,2913309,Ichu
RIACHÃO DO JACUÍPE,2922730,Nova Fátima
RIACHÃO DO JACUÍPE,2924058,Pé de Serra
RIACHÃO DO JACUÍPE,2926301,Riachão do Jacuípe
RIACHÃO DO JACUÍPE,2931103,Tanquinho
RIBEIRA DO POMBAL,2900355,Adustina
RIBEIRA DO POMBAL,2902658,Banzaê
RIBEIRA DO POMBAL,2907806,Cícero Dantas
RIBEIRA DO POMBAL,2907905,Cipó
RIBEIRA DO POMBAL,2910750,Fátima
RIBEIRA DO POMBAL,2911857,Heliópolis
RIBEIRA DO POMBAL,2922904,Nova Soure
RIBEIRA DO POMBAL,2923100,Olindina
RIBEIRA DO POMBAL,2923803,Paripiranga
RIBEIRA DO POMBAL,2926509,Ribeira do Amparo
RIBEIRA DO POMBAL,2926608,Ribeira do Pombal
SALVADOR 1,2927408,Salvador
SALVADOR 1,2930709,Simões Filho
SALVADOR 2,2927408,Salvador
SALVADOR 2,2919207,Lauro de Freitas
SANTA MARIA DA VITÓRIA,2906105,Canápolis
SANTA MARIA DA VITÓRIA,2908101,Cocos
SANTA MARIA DA VITÓRIA,2909109,Coribe
SANTA MARIA DA VITÓRIA,2909307,Correntina
SANTA MARIA DA VITÓRIA,2917359,Jaborandi
SANTA MARIA DA VITÓRIA,2928109,Santa Maria da Vitória
SANTA MARIA DA VITÓRIA,2928208,Santana
SANTA MARIA DA VITÓRIA,2929057,São Félix do Coribe
SANTA MARIA DA VITÓRIA,2930303,Serra Dourada
SANTA MARIA DA VITÓRIA,2930907,Tabocas do Brejo Velho
SANTA RITA DE CASSIA,2904753,Buritirama
SANTA RITA DE CASSIA,2911105,Formosa do Rio Preto
SANTA RITA DE CASSIA,2920452,Mansidão
SANTA RITA DE CASSIA,2926202,Riachão das Neves
SANTA RITA DE CASSIA,2928406,Santa Rita de Cássia
SANTO AMARO,2928604,Santo Amaro
SANTO AMARO,2929503,São Sebastião do Passé
SANTO AMARO,2929750,Saubara
SANTO AMARO,2931400,Teodoro Sampaio
SANTO AMARO,2931707,Terra Nova
SANTO ANTÔNIO DE JESUS,2901007,Amargosa
SANTO ANTÔNIO DE JESUS,2902302,Aratuípe
SANTO ANTÔNIO DE JESUS,2910206,Dom Macedo Costa
SANTO ANTÔNIO DE JESUS,2910305,Elísio Medrado
SANTO ANTÔNIO DE JESUS,2916104,Itaparica
SANTO ANTÔNIO DE JESUS,2917805,Jaguaripe
SANTO ANTÔNIO DE JESUS,2922201,Muniz Ferreira
