"UF","Cód. Agência","Agência","Cód. Município","Município"
"RO","110002300","ARIQUEMES","1100403","ALTO PARAÍSO"
"RO","110002300","ARIQUEMES","1100023","ARIQUEMES"
"RO","110002300","ARIQUEMES","1100452","BURITIS"
"RO","110002300","ARIQUEMES","1100601","CACAULÂNDIA"
"RO","110002300","ARIQUEMES","1100700","CAMPO NOVO DE RONDÔNIA"
"RO","110002300","ARIQUEMES","1100940","CUJUBIM"
"RO","110002300","ARIQUEMES","1101005","GOVERNADOR JORGE TEIXEIRA"
"RO","110002300","ARIQUEMES","1100114","JARU"
"RO","110002300","ARIQUEMES","1100130","MACHADINHO D'OESTE"
"RO","110002300","ARIQUEMES","1101401","MONTE NEGRO"
"RO","110002300","ARIQUEMES","1100262","RIO CRESPO"
"RO","110002300","ARIQUEMES","1101609","THEOBROMA"
"RO","110002300","ARIQUEMES","1101757","VALE DO ANARI"
"RO","110004900","CACOAL","1100015","ALTA FLORESTA D'OESTE"
"RO","110004900","CACOAL","1100379","ALTO ALEGRE DOS PARECIS"
"RO","110004900","CACOAL","1100049","CACOAL"
"RO","110004900","CACOAL","1100908","CASTANHEIRAS"
"RO","110004900","CACOAL","1100098","ESPIGÃO D'OESTE"
"RO","110004900","CACOAL","1101203","MINISTRO ANDREAZZA"
"RO","110004900","CACOAL","1100148","NOVA BRASILÂNDIA D'OESTE"
"RO","110004900","CACOAL","1100502","NOVO HORIZONTE DO OESTE"
"RO","110004900","CACOAL","1101450","PARECIS"
"RO","110004900","CACOAL","1100189","PIMENTA BUENO"
"RO","110004900","CACOAL","1101476","PRIMAVERA DE RONDÔNIA"
"RO","110004900","CACOAL","1100288","ROLIM DE MOURA"
"RO","110004900","CACOAL","1100296","SANTA LUZIA D'OESTE"
"RO","110004900","CACOAL","1101484","SÃO FELIPE D'OESTE"
"RO","110012200","JI-PARANÁ","1100346","ALVORADA D'OESTE"
"RO","110012200","JI-PARANÁ","1100080","COSTA MARQUES"
"RO","110012200","JI-PARANÁ","1100122","JI-PARANÁ"
"RO","110012200","JI-PARANÁ","1101302","MIRANTE DA SERRA"
"RO","110012200","JI-PARANÁ","1101435","NOVA UNIÃO"
"RO","110012200","JI-PARANÁ","1100155","OURO PRETO DO OESTE"
"RO","110012200","JI-PARANÁ","1100254","PRESIDENTE MÉDICI"
"RO","110012200","JI-PARANÁ","1101492","SÃO FRANCISCO DO GUAPORÉ"
"RO","110012200","JI-PARANÁ","1100320","SÃO MIGUEL DO GUAPORÉ"
"RO","110012200","JI-PARANÁ","1101500","SERINGUEIRAS"
"RO","110012200","JI-PARANÁ","1101559","TEIXEIRÓPOLIS"
"RO","110012200","JI-PARANÁ","1101708","URUPÁ"
"RO","110012200","JI-PARANÁ","1101807","VALE DO PARAÍSO"
"RO","110020500","PORTO VELHO","1100809","CANDEIAS DO JAMARI"
"RO","110020500","PORTO VELHO","1100106","GUAJARÁ-MIRIM"
"RO","110020500","PORTO VELHO","1101104","ITAPUÃ DO OESTE"
"RO","110020500","PORTO VELHO","1100338","NOVA MAMORÉ"
"RO","110020500","PORTO VELHO","1100205","PORTO VELHO"
"RO","110030400","VILHENA","1100031","CABIXI"
"RO","110030400","VILHENA","1100056","CEREJEIRAS"
"RO","110030400","VILHENA","1100924","CHUPINGUAIA"
"RO","110030400","VILHENA","1100064","COLORADO DO OESTE"
"RO","110030400","VILHENA","1100072","CORUMBIARA"
"RO","110030400","VILHENA","1101468","PIMENTEIRAS DO OESTE"
"RO","110030400","VILHENA","1100304","VILHENA"
"AC","120020300","CRUZEIRO DO SUL","1200203","CRUZEIRO DO SUL"
"AC","120020300","CRUZEIRO DO SUL","1200336","MÂNCIO LIMA"
"AC","120020300","CRUZEIRO DO SUL","1200351","MARECHAL THAUMATURGO"
"AC","120020300","CRUZEIRO DO SUL","1200393","PORTO WALTER"
"AC","120020300","CRUZEIRO DO SUL","1200427","RODRIGUES ALVES"
"AC","120040100","RIO BRANCO","1200013","ACRELÂNDIA"
"AC","120040100","RIO BRANCO","1200054","ASSIS BRASIL"
"AC","120040100","RIO BRANCO","1200104","BRASILÉIA"
